total_cases,new_cases,total_deaths,new_deaths,new_tests,year
16719.0,70.0,38.0,3.0,3916.0,2020
16801.0,82.0,38.0,0.0,5802.0,2020
16945.0,144.0,38.0,0.0,4422.0,2020
17061.0,116.0,38.0,0.0,5090.0,2020
17177.0,116.0,39.0,1.0,4981.0,2020
17344.0,167.0,39.0,0.0,4688.0,2020
17445.0,101.0,40.0,1.0,3331.0,2020
17502.0,57.0,40.0,0.0,3741.0,2020
17658.0,156.0,40.0,0.0,4302.0,2020
17844.0,186.0,40.0,0.0,3544.0,2020
17944.0,100.0,40.0,0.0,4198.0,2020
18094.0,150.0,42.0,2.0,3481.0,2020
18241.0,147.0,43.0,1.0,3987.0,2020
18374.0,133.0,44.0,1.0,4075.0,2020
18483.0,109.0,45.0,1.0,3300.0,2020
18613.0,130.0,45.0,0.0,4818.0,2020
18752.0,139.0,48.0,3.0,5032.0,2020
19063.0,311.0,49.0,1.0,6037.0,2020
19273.0,210.0,49.0,0.0,6304.0,2020
19547.0,274.0,52.0,3.0,10768.0,2020
19771.0,224.0,56.0,4.0,6993.0,2020
20086.0,315.0,56.0,0.0,8861.0,2020
20332.0,246.0,57.0,1.0,7637.0,2020
20750.0,418.0,57.0,0.0,7687.0,2020
21009.0,259.0,58.0,1.0,6359.0,2020
21390.0,381.0,60.0,2.0,6622.0,2020
21750.0,360.0,65.0,5.0,7926.0,2020
22214.0,464.0,70.0,5.0,7788.0,2020
22592.0,378.0,73.0,3.0,8515.0,2020
22972.0,380.0,75.0,2.0,8432.0,2020
23310.0,338.0,79.0,4.0,10462.0,2020
23948.0,638.0,83.0,4.0,10481.0,2020
24432.0,484.0,91.0,8.0,9859.0,2020
24957.0,525.0,95.0,4.0,11575.0,2020
25551.0,594.0,99.0,4.0,11047.0,2020
26019.0,468.0,102.0,3.0,12247.0,2020
26660.0,641.0,104.0,2.0,11520.0,2020
27241.0,581.0,107.0,3.0,13439.0,2020
28257.0,1016.0,114.0,7.0,11522.0,2020
28938.0,681.0,120.0,6.0,11832.0,2020
29645.0,707.0,126.0,6.0,13679.0,2020
30483.0,838.0,137.0,11.0,12519.0,2020
31117.0,634.0,146.0,9.0,8026.0,2020
31935.0,818.0,149.0,3.0,10234.0,2020
32678.0,743.0,157.0,8.0,11321.0,2020
33533.0,855.0,164.0,7.0,13253.0,2020
34418.0,885.0,175.0,11.0,12629.0,2020
35529.0,1111.0,183.0,8.0,10229.0,2020
36456.0,927.0,195.0,12.0,11516.0,2020
37340.0,884.0,207.0,12.0,12717.0,2020
38561.0,1221.0,221.0,14.0,11129.0,2020
39460.0,899.0,228.0,7.0,12088.0,2020
40529.0,1069.0,239.0,11.0,12879.0,2020
41649.0,1120.0,251.0,12.0,13413.0,2020
42877.0,1228.0,257.0,6.0,13638.0,2020
44236.0,1359.0,271.0,14.0,12473.0,2020
45277.0,1041.0,280.0,9.0,10382.0,2020
46257.0,980.0,289.0,9.0,9218.0,2020
47236.0,979.0,300.0,11.0,10611.0,2020
48138.0,902.0,306.0,6.0,11167.0,2020
49219.0,1081.0,312.0,6.0,4228.772486772486,2020
50465.0,1246.0,317.0,5.0,4228.772486772486,2020
51919.0,1454.0,322.0,5.0,4228.772486772486,2020
